question,answer
What are your opening hours?,"Phnom Penh Noodle House is open every day, Monday to Sunday, from 7:00 AM to 9:00 PM. We start cooking fresh broth early every morning."
Where are you located?,"We're on Street 57, Boeung Keng Kang 1 (BKK1), Chamkarmon, Phnom Penh, near the Independence Monument. Tuk-tuk and car parking is available in front of the shop."
How can I contact you?,"You can message us right here, or call / Telegram us at +855 12 345 678. We usually reply within a few minutes during opening hours."
What kind of noodles do you serve?,"We serve two kinds: Khmer noodles (Num Banh Chok) with a fresh herb broth, and Chinese noodles (Kuy Teav) in an overnight-simmered pork-bone broth. Full menu is available right here on Messenger."
How much are the Khmer noodles?,"Our Khmer noodles (Num Banh Chok) are 10,000 riel each: Fish in Khmer soup (Somlor Khmer), or Chicken in Kari soup. Both come with fresh cucumber, banana blossom, and herbs."
How much are the Chinese noodles?,"Our Chinese noodles (Kuy Teav) are: Phnom Penh Standard 12,000 riel, Beef Noodle 12,000 riel, Beef-Joints Noodle 13,000 riel, Seafood Noodle 13,000 riel, and Special Noodle 15,000 riel. Choose small or large (large is +1,000 riel)."
What comes in the Special Noodle?,"The Special Noodle (15,000 riel) has beef, meatballs, crystal beef, shrimp, and cow-joints, with bean sprouts and lettuce. It's our most loaded bowl."
What comes in the Phnom Penh Standard noodle?,"The Phnom Penh Standard (Kuy Teav Phnom Penh, 12,000 riel) has mixed intestines, cow-joints and tongue, and beef, served with bean sprouts and lettuce."
Can I have it dry instead of soup?,"Yes! Any Chinese noodle can be made dry (Kuy Teav Kh'ing) with the broth served on the side, for the same price. Just let us know when you order."
Do you have vegetarian options?,"Yes, we can prepare the Khmer noodle with a veggie broth and no meat. Just ask and we'll leave out the fish or chicken."
Can I choose how spicy it is?,"Of course. Tell us mild, medium, or extra spicy, and we serve fresh chili, lime, and herbs on the side so you can adjust it yourself."
Do you have drinks?,"Yes. Iced tea is free with dine-in. We also have bottled water (1,000 riel), soft drinks (2,500 riel), fresh sugarcane juice (3,000 riel), and iced coffee (4,000 riel)."
Are there any add-ons?,"Yes: extra noodle 2,000 riel, extra meatballs 2,000 riel, extra beef 3,000 riel, and a fried egg 2,000 riel. Extra herbs and bean sprouts are free."
Do you do delivery?,"Yes, we deliver around Phnom Penh. Just send us your dishes, your address, and your phone number here, and we'll arrange it. A small delivery fee applies depending on your district."
Can I order takeaway?,"Absolutely. Order here or at the shop and we'll pack it fresh to go, with the broth and herbs kept separate so nothing gets soggy."
Do I need a reservation or can I walk in?,"Walk-ins are always welcome! For a large group or a busy weekend evening, a quick reservation helps us save you a table."
Can I book a table for a group?,"Yes, we take table reservations. Just send us your name, phone number, how many people, and your preferred date and time, and we'll get it ready."
What payment methods do you accept?,"We accept cash in Khmer riel and US dollars, ABA Pay, Wing, and KHQR mobile payments."
Do you use pork in your broth?,"Our Chinese noodle (Kuy Teav) broth is made from pork bones. The Khmer noodles use fish or chicken. If you avoid pork, go for the Khmer noodles and let us know."
Do you have seating? Is it busy?,"Yes, we have dine-in seating and it's a cozy local spot. Mornings and lunchtime are busiest, so come a little early or order ahead if you're in a hurry."
Do you cook fresh every day?,"Yes! We simmer our broth overnight and prepare toppings and herbs fresh every morning, so every bowl is made fresh to order."
